iter	Passed	Remaining
403	8385	1992
404	8406	1971
405	8425	1950
406	8445	1929
407	8464	1908
408	8483	1887
409	8503	1866
410	8523	1845
411	8542	1824
412	8560	1803
413	8577	1781
414	8593	1760
415	8612	1739
416	8632	1718
417	8651	1697
418	8672	1676
419	8690	1655
420	8709	1634
421	8731	1613
422	8750	1592
423	8768	1571
424	8788	1550
425	8806	1529
426	8826	1508
427	8842	1487
428	8862	1466
429	8885	1446
430	8902	1425
431	8923	1404
432	8941	1383
433	8958	1362
434	8977	1341
435	8995	1320
436	9015	1299
437	9034	1278
438	9054	1258
439	9072	1237
440	9091	1216
441	9111	1195
442	9130	1174
443	9149	1153
444	9168	1133
445	9187	1112
446	9205	1091
447	9225	1070
448	9247	1050
449	9266	1029
450	9286	1009
451	9304	988
452	9324	967
453	9341	946
454	9361	925
455	9380	905
456	9398	884
457	9417	863
458	9438	843
459	9460	822
460	9479	801
461	9499	781
462	9517	760
463	9537	739
464	9556	719
465	9574	698
466	9591	677
467	9609	657
468	9627	636
469	9646	615
470	9666	595
471	9685	574
472	9706	554
473	9724	533
474	9745	512
475	9762	492
476	9780	471
477	9798	450
478	9818	430
479	9839	409
480	9861	389
481	9881	369
482	9898	348
483	9918	327
484	9938	307
485	9956	286
486	9975	266
487	9991	245
488	10009	225
489	10029	204
490	10050	184
491	10069	163
492	10091	143
493	10111	122
494	10129	102
495	10148	81
496	10166	61
497	10183	40
498	10201	20
499	10220	0
